"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","pitch_count","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","batted_ball","f_strike_percent","n"
"Nola, Aaron",605400,2024,820,24,6.1,".310",".300",35.4,7.2,38.2,"77.265343569","94.038174053",66.7,15.9,32.1,42.6,57.4,52.4,3189,84.1,47.6,25.2,48.6,570,66.6,"3189"
"Severino, Luis",622663,2024,761,21.2,7.9,".308",".305",30.4,5.7,35.6,"75.272418577","93.515669191",70.6,15.7,29.7,37.7,62.3,49.1,2890,84.3,50.9,22,50.6,527,63.5,"2889"
"Rea, Colin",607067,2024,714,18.9,6,".327",".338",36.3,8.7,42,"80.213678192","94.594415173",67.7,15.3,24.5,30.9,69.1,48.4,2650,84.7,51.6,19.3,46.8,526,64.8,"2650"
"Anderson, Tyler",542881,2024,765,18.6,9.5,".308",".322",34.1,7.9,33,"76.273537333","93.1219435",71.5,20.8,29.5,43.1,56.9,52.8,2914,79.2,47.2,27.8,49.3,543,58.7,"2914"
"Feltner, Ryan",663372,2024,692,19.9,7.5,".320",".320",33.1,6.5,36.8,"76.695048857","93.803345297",68,17.6,25.7,42.6,57.4,46.9,2578,82.4,53.1,23.9,48.1,495,62.6,"2577"
"Falter, Bailey",663559,2024,589,16.5,7.6,".320",".336",36.6,9,41.3,"79.920380413","94.430660482",67.8,13.7,27.8,36.4,63.6,45.8,2138,86.3,54.2,19.6,49.5,445,58.7,"2137"
"López, Reynaldo",625643,2024,543,27.3,7.7,".271",".307",37.3,8.8,42.2,"79.439650977","94.317767471",67,17.8,30.5,49.1,50.9,49.6,2110,82.2,50.4,27.5,49,351,64.3,"2110"
"Valdez, Framber",664285,2024,703,24,7.8,".272",".287",26,5.3,45,"80.000726364","94.620557662",61.2,14.4,28.7,54.5,45.5,50.1,2598,85.6,49.9,27.2,45,473,61.9,"2598"
"Hendricks, Kyle",543294,2024,567,15.3,7.6,".339",".336",36.4,7.4,33.4,"73.587198843","93.098027796",64.4,13.4,29.6,29.6,70.4,52.4,2135,86.6,47.6,18.9,46.2,434,68.4,"2135"
"Stone, Gavin",694813,2024,580,20,6.4,".304",".306",32.5,6.4,36.2,"77.107440095","93.702925548",70.4,18,31.1,39.4,60.6,50.8,2153,82,49.2,24.7,50.4,425,62.1,"2153"
"Berríos, José",621244,2024,786,19.5,6.9,".308",".334",36.3,7.8,41.8,"79.087839143","94.188449928",64.5,13.3,29.5,37.8,62.2,50.8,2914,86.7,49.2,21.1,46.7,565,64.8,"2914"
"Burnes, Corbin",669203,2024,784,23.1,6.1,".273",".284",26.8,6.7,31.6,"76.693803832","93.206229159",67,15.6,33,51.6,48.4,53.4,2996,84.4,46.6,28.6,48.8,553,63.9,"2995"
"Blanco, Ronel",669854,2024,676,24.6,10.1,".276",".309",30.1,9.3,35.5,"78.14814367","93.702377385",68.4,17.7,30.3,52.8,47.2,51.9,2751,82.3,48.1,29,48.6,439,60.5,"2751"
"Cease, Dylan",656302,2024,762,29.4,8.5,".266",".283",32.4,8.5,38.6,"78.282702241","94.084709267",68.5,22.1,30.5,52.4,47.6,53.5,3188,77.9,46.5,32.4,48.2,469,59.8,"3188"
"Bradley, Taj",671737,2024,578,26.6,8.1,".308",".314",34.9,10.2,42.9,"81.556942554","94.766375924",71.5,18.8,30.5,47.2,52.8,50.7,2294,81.2,49.3,27.4,50.7,373,62.5,"2294"
"Glasnow, Tyler",607192,2024,522,32.2,6.7,".258",".254",32.5,8.5,40.1,"78.136298153","94.139426422",66.7,19.7,27.3,62.6,37.4,46.3,2011,80.3,53.7,30.9,48.4,317,64.2,"2011"
"Fedde, Erick",607200,2024,726,21.2,7.2,".293",".307",32.4,7.6,37.7,"77.502500545","93.941632164",68.4,15.3,24.4,37.9,62.1,52,2891,84.7,48,21.6,45.5,515,64.7,"2891"
"Brown, Hunter",686613,2024,712,25.1,8.4,".296",".282",28,4.5,30.3,"74.687517768","92.855098176",66,18.7,27.3,40,60,50.9,2889,81.3,49.1,25.1,46.3,468,60.3,"2889"
"Pérez, Martín",527048,2024,590,18.1,8.3,".351",".354",34.3,8.6,41.5,"76.89241338","94.749829061",64.7,13.7,28,37.1,62.9,51,2204,86.3,49,21,46,429,63.7,"2204"
"Fried, Max",608331,2024,714,23.2,8,".273",".299",30.4,5,34.6,"73.871292176","93.362715837",63.8,15.7,28.9,41.8,58.2,51.2,2762,84.3,48.8,24.1,45.9,483,64.8,"2761"
"Spence, Mitch",687765,2024,651,19.4,6.8,".340",".314",30.9,8.4,41.7,"78.960464768","94.185021142",70.8,12,31.7,44.6,55.4,51.6,2481,88,48.4,22.5,50.6,475,61.3,"2480"
